Name,d,epochs,MSE,MAE,MAPE,R2 Square,TRAIN MSE,TIME,p,lr
Snap Star (shot wrmp),1,200,16.71182,2.5326,0.12127,0.79929,2.04063,16,0.0,0.1
Snap Star (new wrmp),1,200,14.77553,2.48399,0.12202,0.82255,2.17675,15,0.0,0.1
Snap Ensemble,5,150,14.02354,2.49604,0.12873,0.83158,3.63912,32,0.1,0.1
Snap Star (shot wrmp),5,150,11.67043,2.31058,0.1193,0.85984,1.76937,39,0.1,0.1
Snap Star (new wrmp),5,150,11.98392,2.32501,0.11763,0.85608,2.25535,36,0.1,0.1
Snap Ensemble,5,150,14.69665,2.42941,0.1186,0.8235,1.86483,31,0.0,0.1
Snap Star (shot wrmp),5,150,13.49516,2.36613,0.11623,0.83793,1.31589,37,0.0,0.1
Snap Star (new wrmp),5,150,13.73319,2.39927,0.11912,0.83507,1.40688,34,0.0,0.1
Snap Ensemble,4,150,14.41905,2.50562,0.12775,0.82683,3.74314,27,0.1,0.1
Snap Star (shot wrmp),4,150,12.83002,2.36056,0.11648,0.84591,2.29415,32,0.1,0.1
Snap Star (new wrmp),4,150,12.65187,2.33648,0.11741,0.84805,2.3158,29,0.1,0.1
Snap Ensemble,4,150,14.00303,2.38664,0.11596,0.83183,1.65168,26,0.0,0.1
Snap Star (shot wrmp),4,150,14.06216,2.38313,0.11491,0.83112,1.66492,31,0.0,0.1
Snap Star (new wrmp),4,150,15.07457,2.43301,0.11534,0.81896,1.80788,29,0.0,0.1
Snap Ensemble,3,150,14.41086,2.51708,0.13311,0.82693,3.2642,21,0.1,0.1
Snap Star (shot wrmp),3,150,12.896,2.4068,0.1239,0.84512,2.24735,25,0.1,0.1
Snap Star (new wrmp),3,150,14.1254,2.46884,0.12295,0.83036,2.86384,24,0.1,0.1
Snap Ensemble,3,150,13.31142,2.285,0.10984,0.84013,1.77515,21,0.0,0.1
Snap Star (shot wrmp),3,150,13.54717,2.21826,0.10568,0.8373,1.45484,25,0.0,0.1
Snap Star (new wrmp),3,150,13.42266,2.219,0.10703,0.8388,1.54641,23,0.0,0.1
Snap Ensemble,2,150,14.5118,2.57229,0.13295,0.82572,3.74832,16,0.1,0.1
Snap Star (shot wrmp),2,150,14.10694,2.46532,0.1242,0.83058,2.45562,19,0.1,0.1
Snap Star (new wrmp),2,150,13.29245,2.46106,0.12075,0.84036,2.64129,18,0.1,0.1
Snap Ensemble,2,150,13.9244,2.40205,0.11635,0.83277,1.99814,16,0.0,0.1
Snap Star (shot wrmp),2,150,13.32885,2.41266,0.11807,0.83992,2.01328,19,0.0,0.1
Snap Star (new wrmp),2,150,13.78195,2.44087,0.12022,0.83448,2.07857,18,0.0,0.1
Snap Ensemble,1,150,14.73162,2.47814,0.12682,0.82308,3.81699,10,0.1,0.1
Snap Star (shot wrmp),1,150,13.95972,2.45243,0.12628,0.83235,3.70293,12,0.1,0.1
Snap Star (new wrmp),1,150,15.64688,2.52631,0.12508,0.81208,4.50392,11,0.1,0.1
Snap Ensemble,1,150,14.61659,2.48916,0.12257,0.82446,2.56718,10,0.0,0.1
Snap Star (shot wrmp),1,150,13.54616,2.4072,0.12148,0.83731,2.68354,12,0.0,0.1
Snap Star (new wrmp),1,150,14.28442,2.4277,0.12001,0.82845,2.86322,11,0.0,0.1
Snap Ensemble,5,75,14.44381,2.55874,0.13517,0.82653,3.76134,17,0.1,0.1
Snap Star (shot wrmp),5,75,13.3119,2.45339,0.12143,0.84013,2.67574,20,0.1,0.1
Snap Star (new wrmp),5,75,13.39842,2.47325,0.12958,0.83909,3.13395,19,0.1,0.1
Snap Ensemble,5,75,13.64892,2.39732,0.11872,0.83608,2.18285,16,0.0,0.1
Snap Star (shot wrmp),5,75,13.68529,2.45321,0.12049,0.83564,2.35759,18,0.0,0.1
